family	execution_arch	source	catalogue_generation	catalogue_label	canonical_id	current_display	weight_file	presentation_flags	waiver_reasons	review_status
Apollo	Apollo	extras		Apollo Model: EDM Restoration Big by essid	apollo:apollo_edm_big_by_essid	Apollo — EDM Restoration Big · Essid	apollo_edm_big_by_essid.ckpt			clean
Apollo	Apollo	extras		Apollo Model: EDM Restoration by essid	apollo:apollo_edm_by_essid	Apollo — EDM Restoration · Essid	apollo_edm_by_essid.ckpt			clean
Bandit	Bandit	Politrees		Bandit Plus: Cinematic Bandit Plus by kwatcharasupat	mdx:model_bandit_plus_dnr_sdr_11.47	Bandit — Cinematic Bandit Plus · kwatcharasupat	model_bandit_plus_dnr_sdr_11.47.ckpt			clean
Bandit	Bandit	Politrees		Bandit v2: Cinematic Bandit v2 Multilang by kwatcharasupat	mdx:checkpoint-multi_fixed	Bandit — Cinematic Bandit v2 Multilang · kwatcharasupat	checkpoint-multi_fixed.ckpt			clean
Bandit	Bandit	mvsepless		Bandit Last Checkpoint by ZFTurbo	mdx:bandit_last	Bandit — Last Checkpoint · ZFTurbo	bandit_last.ckpt			clean
Bandit	Bandit	mvsepless		Bandit Plus (ep 30) by ZFTurbo	mdx:bandit_30_zfturbo	Bandit — Plus (ep 30) · ZFTurbo	bandit_30_zfturbo.ckpt			clean
Bandit	Bandit	mvsepless		Bandit Plus (ep 57) by ZFTurbo	mdx:bandit_57_zfturbo	Bandit — Plus (ep 57) · ZFTurbo	bandit_57_zfturbo.ckpt			clean
Bandit	Bandit	mvsepless		Bandit Plus (ep 63) by ZFTurbo	mdx:bandit_63_zfturbo	Bandit — Plus (ep 63) · ZFTurbo	bandit_63_zfturbo.ckpt			clean
Demucs	Demucs	TRvlvr+Politrees	v1	Demucs v1: tasnet	demucs:tasnet	Demucs v1 — Conv-TasNet	tasnet.th			clean
Demucs	Demucs	TRvlvr+Politrees	v1	Demucs v1: tasnet_extra	demucs:tasnet_extra	Demucs v1 — Conv-TasNet Extra	tasnet_extra.th			clean
Demucs	Demucs	TRvlvr+Politrees	v1	Demucs v1: light	demucs:light	Demucs v1 — Light	light.th			clean
Demucs	Demucs	TRvlvr+Politrees	v1	Demucs v1: light_extra	demucs:light_extra	Demucs v1 — Light Extra	light_extra.th			clean
Demucs	Demucs	TRvlvr+Politrees	v1	Demucs v1: demucs	demucs:demucs	Demucs v1 — Time-Domain	demucs.th			clean
Demucs	Demucs	TRvlvr+Politrees	v1	Demucs v1: demucs_extra	demucs:demucs_extra	Demucs v1 — Time-Domain Extra	demucs_extra.th			clean
Demucs	Demucs	TRvlvr+Politrees	v2	Demucs v2: tasnet	demucs:tasnet-beb46fac	Demucs v2 — Conv-TasNet	tasnet-beb46fac.th			clean
Demucs	Demucs	TRvlvr+Politrees	v2	Demucs v2: tasnet_extra	demucs:tasnet_extra-df3777b2	Demucs v2 — Conv-TasNet Extra	tasnet_extra-df3777b2.th			clean
Demucs	Demucs	TRvlvr+Politrees	v2	Demucs v2: demucs	demucs:demucs-e07c671f	Demucs v2 — Time-Domain	demucs-e07c671f.th			clean
Demucs	Demucs	TRvlvr+Politrees	v2	Demucs v2: demucs48_hq	demucs:demucs48_hq-28a1282c	Demucs v2 — Time-Domain 48 kHz HQ	demucs48_hq-28a1282c.th			clean
Demucs	Demucs	TRvlvr+Politrees	v2	Demucs v2: demucs_extra	demucs:demucs_extra-3646af93	Demucs v2 — Time-Domain Extra	demucs_extra-3646af93.th			clean
Demucs	Demucs	TRvlvr+Politrees	v2	Demucs v2: demucs_unittest	demucs:demucs_unittest-09ebc15f	Demucs v2 — Unit Test	demucs_unittest-09ebc15f.th			clean
Demucs	Demucs	TRvlvr+Politrees	v3	Demucs v3: mdx	demucs:mdx	Demucs v3 — MDX	c511e2ab-fe698775.th			clean
Demucs	Demucs	TRvlvr+Politrees	v3	Demucs v3: mdx_extra	demucs:mdx_extra	Demucs v3 — MDX Extra	e51eebcc-c1b80bdd.th			clean
Demucs	Demucs	TRvlvr+Politrees	v3	Demucs v3: mdx_extra_q	demucs:mdx_extra_q	Demucs v3 — MDX Extra Quantized	83fc094f-4a16d450.th			clean
Demucs	Demucs	TRvlvr+Politrees	v3	Demucs v3: mdx_q	demucs:mdx_q	Demucs v3 — MDX Quantized	b72baf4e-8778635e.th			clean
Demucs	Demucs	TRvlvr+Politrees	v3	Demucs v3: repro_mdx_a	demucs:repro_mdx_a	Demucs v3 — Repro MDX A	fa0cb7f9-100d8bf4.th			clean
Demucs	Demucs	TRvlvr+Politrees	v3	Demucs v3: repro_mdx_a_hybrid_only	demucs:repro_mdx_a_hybrid_only	Demucs v3 — Repro MDX A Hybrid Only	fa0cb7f9-100d8bf4.th			clean
Demucs	Demucs	TRvlvr+Politrees	v3	Demucs v3: repro_mdx_a_time_only	demucs:repro_mdx_a_time_only	Demucs v3 — Repro MDX A Time-Domain Only	9a6b4851-03af0aa6.th			clean
Demucs	Demucs	TRvlvr+Politrees	v3	Demucs v3: UVR Model	demucs:UVR_Demucs_Model_1	Demucs v3 — UVR Model (2 Stems)	ebf34a2db.th			clean
Demucs	Demucs	TRvlvr+Politrees	v4	Demucs v4: hdemucs_mmi	demucs:hdemucs_mmi	Demucs v4 — Hybrid Demucs MMI	75fc33f5-1941ce65.th			clean
Demucs	Demucs	TRvlvr+Politrees	v4	Demucs v4: htdemucs	demucs:htdemucs	Demucs v4 — Hybrid Transformer	955717e8-8726e21a.th			clean
Demucs	Demucs	TRvlvr+Politrees	v4	Demucs v4: htdemucs_6s	demucs:htdemucs_6s	Demucs v4 — Hybrid Transformer (6 Stems)	5c90dfd2-34c22ccb.th			clean
Demucs	Demucs	TRvlvr+Politrees	v4	Demucs v4: htdemucs_ft	demucs:htdemucs_ft	Demucs v4 — Hybrid Transformer Fine-Tuned	f7e0c4bc-ba3fe64a.th			clean
MDX-Net	BS Roformer	mvsepless		BS PolarFormer 4 stems 09-07-2026 by Aname	mdx:bs_pope_4stem_09072026_aname	BandSplit PolarFormer — 09-07-2026 (4 Stems) · Aname	bs_pope_4stem_09072026_aname.ckpt			clean
MDX-Net	BS Roformer	mvsepless		BS PolarFormer InstVoc Duality Lazy Bat by Aname	mdx:bs_pope_instvoc_aname	BandSplit PolarFormer — Instrumental/Vocals Duality Lazy Bat · Aname	bs_pope_instvoc_aname.ckpt			clean
MDX-Net	BS Roformer	mvsepless		BS PolarFormer Karaoke by Lambda001 (sdr lead 9.74, sdr back instrum 15.13)	mdx:bs_pope_karaoke_974_lambda	BandSplit PolarFormer — Karaoke · Lambda001	bs_pope_karaoke_974_lambda.ckpt			clean
MDX-Net	BS Roformer	mvsepless		BS PolarFormer 4 stems Lazy Bat by Aname	mdx:bs_pope_4stem_aname	BandSplit PolarFormer — Lazy Bat (4 Stems) · Aname	bs_pope_4stem_aname.ckpt			clean
MDX-Net	BS Roformer	mvsepless		BS PolarFormer Vocals by ZFTurbo	mdx:bs_pope_vocals_zfturbo	BandSplit PolarFormer — Vocals · ZFTurbo	bs_pope_vocals_zfturbo.ckpt			clean
MDX-Net	BS Roformer	mvsepless		BS Roformer 4 stems by Aname	mdx:bs_4stem_aname	BandSplit Roformer (4 Stems) · Aname	bs_4stem_aname.ckpt			clean
MDX-Net	BS Roformer	mvsepless		BS Roformer 4 Stems by ZFTurbo	mdx:bs_4stem_zfturbo	BandSplit Roformer (4 Stems) · ZFTurbo	bs_4stem_zfturbo.ckpt			clean
MDX-Net	BS Roformer	mvsepless		BS Roformer Bass Experimental by BeatLoo Labs	mdx:bs_bass_beatloo_labs	BandSplit Roformer — Bass Experimental · BeatLoo Labs	bs_bass_beatloo_labs.ckpt			clean
MDX-Net	BS Roformer	mvsepless		BS Roformer Bass by Xlance	mdx:bs_bass_xlancer	BandSplit Roformer — Bass · Xlance	bs_bass_xlancer.ckpt			clean
MDX-Net	BS Roformer	mvsepless		BS Roformer Bowed Strings by Gilliaaan	mdx:bs_bowed_str_gilliaaan	BandSplit Roformer — Bowed Strings · Gilliaaan	bs_bowed_str_gilliaaan.ckpt			clean
MDX-Net	BS Roformer	mvsepless		BS Roformer Deverb (sdr 22.50) by Anvuew	mdx:bs_dereverb_2250_anvuew	BandSplit Roformer — DeReverb (SDR 22.50) · Anvuew	bs_dereverb_2250_anvuew.ckpt			clean
MDX-Net	BS Roformer	mvsepless		BS Roformer Deverb 256-8 by Anvuew	mdx:bs_deverb_256_8_anvuew	BandSplit Roformer — DeReverb 256-8 · Anvuew	bs_deverb_256_8_anvuew.ckpt			clean
MDX-Net	BS Roformer	mvsepless		BS Roformer Deverb 384-10 by Anvuew	mdx:bs_deverb_384_10_anvuew	BandSplit Roformer — DeReverb 384-10 · Anvuew	bs_deverb_384_10_anvuew.ckpt			clean
MDX-Net	BS Roformer	mvsepless		BS Roformer Deverb Roon by Anvuew	mdx:bs_deverb_room_anvuew	BandSplit Roformer — DeReverb Room · Anvuew	bs_deverb_room_anvuew.ckpt			clean
MDX-Net	BS Roformer	mvsepless		BS Roformer Drums Duality by Gilliaaan	mdx:bs_drums_gilliaaan	BandSplit Roformer — Drums Duality · Gilliaaan	bs_drums_gilliaaan.ckpt			clean
