model_id	model_display	native_signature	processing_context	native_stem	production	backend_primary	backend_target	logical_primary	role_id	canonical_name	filename_tag	pair_id	intent	intent_source	review_status	evidence_or_waiver
demucs:UVR_Demucs_Model_1	Demucs v3 — UVR Model (2 Stems)	instrumental|vocals	full_mix	instrumental	native			true	mix.instrumental	Instrumental	Instrumental	pair.vocals_instrumental	vocal_pair	reviewed_manifest	reviewed	catalogue_id=demucs:UVR_Demucs_Model_1; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=instrumental|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:UVR_Demucs_Model_1	Demucs v3 — UVR Model (2 Stems)	instrumental|vocals	full_mix	vocals	native			false	vocal.vocals	Vocals	Vocals	pair.vocals_instrumental	vocal_pair	reviewed_manifest	reviewed	catalogue_id=demucs:UVR_Demucs_Model_1; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=instrumental|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:demucs	Demucs v1 — Time-Domain	drums|bass|other|vocals	full_mix	drums	native			true	instrument.drums	Drums	Drums		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:demucs; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:demucs	Demucs v1 — Time-Domain	drums|bass|other|vocals	full_mix	bass	native			false	instrument.bass	Bass	Bass		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:demucs; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:demucs	Demucs v1 — Time-Domain	drums|bass|other|vocals	full_mix	other	native			false	residual.other	Residual	Residual		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:demucs; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:demucs	Demucs v1 — Time-Domain	drums|bass|other|vocals	full_mix	vocals	native			false	vocal.vocals	Vocals	Vocals		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:demucs; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:demucs-e07c671f	Demucs v2 — Time-Domain	drums|bass|other|vocals	full_mix	drums	native			true	instrument.drums	Drums	Drums		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:demucs-e07c671f; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:demucs-e07c671f	Demucs v2 — Time-Domain	drums|bass|other|vocals	full_mix	bass	native			false	instrument.bass	Bass	Bass		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:demucs-e07c671f; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:demucs-e07c671f	Demucs v2 — Time-Domain	drums|bass|other|vocals	full_mix	other	native			false	residual.other	Residual	Residual		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:demucs-e07c671f; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:demucs-e07c671f	Demucs v2 — Time-Domain	drums|bass|other|vocals	full_mix	vocals	native			false	vocal.vocals	Vocals	Vocals		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:demucs-e07c671f; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:demucs48_hq-28a1282c	Demucs v2 — Time-Domain 48 kHz HQ	drums|bass|other|vocals	full_mix	drums	native			true	instrument.drums	Drums	Drums		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:demucs48_hq-28a1282c; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:demucs48_hq-28a1282c	Demucs v2 — Time-Domain 48 kHz HQ	drums|bass|other|vocals	full_mix	bass	native			false	instrument.bass	Bass	Bass		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:demucs48_hq-28a1282c; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:demucs48_hq-28a1282c	Demucs v2 — Time-Domain 48 kHz HQ	drums|bass|other|vocals	full_mix	other	native			false	residual.other	Residual	Residual		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:demucs48_hq-28a1282c; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:demucs48_hq-28a1282c	Demucs v2 — Time-Domain 48 kHz HQ	drums|bass|other|vocals	full_mix	vocals	native			false	vocal.vocals	Vocals	Vocals		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:demucs48_hq-28a1282c; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:demucs_extra	Demucs v1 — Time-Domain Extra	drums|bass|other|vocals	full_mix	drums	native			true	instrument.drums	Drums	Drums		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:demucs_extra; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:demucs_extra	Demucs v1 — Time-Domain Extra	drums|bass|other|vocals	full_mix	bass	native			false	instrument.bass	Bass	Bass		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:demucs_extra; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:demucs_extra	Demucs v1 — Time-Domain Extra	drums|bass|other|vocals	full_mix	other	native			false	residual.other	Residual	Residual		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:demucs_extra; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:demucs_extra	Demucs v1 — Time-Domain Extra	drums|bass|other|vocals	full_mix	vocals	native			false	vocal.vocals	Vocals	Vocals		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:demucs_extra; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:demucs_extra-3646af93	Demucs v2 — Time-Domain Extra	drums|bass|other|vocals	full_mix	drums	native			true	instrument.drums	Drums	Drums		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:demucs_extra-3646af93; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:demucs_extra-3646af93	Demucs v2 — Time-Domain Extra	drums|bass|other|vocals	full_mix	bass	native			false	instrument.bass	Bass	Bass		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:demucs_extra-3646af93; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:demucs_extra-3646af93	Demucs v2 — Time-Domain Extra	drums|bass|other|vocals	full_mix	other	native			false	residual.other	Residual	Residual		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:demucs_extra-3646af93; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:demucs_extra-3646af93	Demucs v2 — Time-Domain Extra	drums|bass|other|vocals	full_mix	vocals	native			false	vocal.vocals	Vocals	Vocals		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:demucs_extra-3646af93; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:demucs_unittest-09ebc15f	Demucs v2 — Unit Test	drums|bass|other|vocals	full_mix	drums	native			true	instrument.drums	Drums	Drums		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:demucs_unittest-09ebc15f; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:demucs_unittest-09ebc15f	Demucs v2 — Unit Test	drums|bass|other|vocals	full_mix	bass	native			false	instrument.bass	Bass	Bass		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:demucs_unittest-09ebc15f; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:demucs_unittest-09ebc15f	Demucs v2 — Unit Test	drums|bass|other|vocals	full_mix	other	native			false	residual.other	Residual	Residual		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:demucs_unittest-09ebc15f; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:demucs_unittest-09ebc15f	Demucs v2 — Unit Test	drums|bass|other|vocals	full_mix	vocals	native			false	vocal.vocals	Vocals	Vocals		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:demucs_unittest-09ebc15f; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:hdemucs_mmi	Demucs v4 — Hybrid Demucs MMI	drums|bass|other|vocals	full_mix	drums	native			true	instrument.drums	Drums	Drums		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:hdemucs_mmi; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:hdemucs_mmi	Demucs v4 — Hybrid Demucs MMI	drums|bass|other|vocals	full_mix	bass	native			false	instrument.bass	Bass	Bass		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:hdemucs_mmi; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:hdemucs_mmi	Demucs v4 — Hybrid Demucs MMI	drums|bass|other|vocals	full_mix	other	native			false	residual.other	Residual	Residual		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:hdemucs_mmi; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:hdemucs_mmi	Demucs v4 — Hybrid Demucs MMI	drums|bass|other|vocals	full_mix	vocals	native			false	vocal.vocals	Vocals	Vocals		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:hdemucs_mmi; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:htdemucs	Demucs v4 — Hybrid Transformer	drums|bass|other|vocals	full_mix	drums	native			true	instrument.drums	Drums	Drums		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:htdemucs; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:htdemucs	Demucs v4 — Hybrid Transformer	drums|bass|other|vocals	full_mix	bass	native			false	instrument.bass	Bass	Bass		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:htdemucs; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:htdemucs	Demucs v4 — Hybrid Transformer	drums|bass|other|vocals	full_mix	other	native			false	residual.other	Residual	Residual		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:htdemucs; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:htdemucs	Demucs v4 — Hybrid Transformer	drums|bass|other|vocals	full_mix	vocals	native			false	vocal.vocals	Vocals	Vocals		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:htdemucs; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:htdemucs_6s	Demucs v4 — Hybrid Transformer (6 Stems)	drums|bass|other|vocals|guitar|piano	full_mix	drums	native			true	instrument.drums	Drums	Drums		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:htdemucs_6s; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals|guitar|piano; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:htdemucs_6s	Demucs v4 — Hybrid Transformer (6 Stems)	drums|bass|other|vocals|guitar|piano	full_mix	bass	native			false	instrument.bass	Bass	Bass		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:htdemucs_6s; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals|guitar|piano; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:htdemucs_6s	Demucs v4 — Hybrid Transformer (6 Stems)	drums|bass|other|vocals|guitar|piano	full_mix	other	native			false	residual.other	Residual	Residual		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:htdemucs_6s; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals|guitar|piano; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:htdemucs_6s	Demucs v4 — Hybrid Transformer (6 Stems)	drums|bass|other|vocals|guitar|piano	full_mix	vocals	native			false	vocal.vocals	Vocals	Vocals		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:htdemucs_6s; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals|guitar|piano; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:htdemucs_6s	Demucs v4 — Hybrid Transformer (6 Stems)	drums|bass|other|vocals|guitar|piano	full_mix	guitar	native			false	instrument.guitar	Guitar	Guitar		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:htdemucs_6s; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals|guitar|piano; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:htdemucs_6s	Demucs v4 — Hybrid Transformer (6 Stems)	drums|bass|other|vocals|guitar|piano	full_mix	piano	native			false	instrument.piano	Piano	Piano		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:htdemucs_6s; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals|guitar|piano; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:htdemucs_ft	Demucs v4 — Hybrid Transformer Fine-Tuned	drums|bass|other|vocals	full_mix	drums	native			true	instrument.drums	Drums	Drums		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:htdemucs_ft; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:htdemucs_ft	Demucs v4 — Hybrid Transformer Fine-Tuned	drums|bass|other|vocals	full_mix	bass	native			false	instrument.bass	Bass	Bass		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:htdemucs_ft; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
demucs:htdemucs_ft	Demucs v4 — Hybrid Transformer Fine-Tuned	drums|bass|other|vocals	full_mix	other	native			false	residual.other	Residual	Residual		multi_stem	reviewed_manifest	reviewed	catalogue_id=demucs:htdemucs_ft; source=TRvlvr+Politrees; metadata_source=demucs_heuristic; native_signature=drums|bass|other|vocals; backend_primary=; backend_target=; reviewed_contexts=full_mix
